DBN,SATmath,SATall
01M292,404.0,374.0
01M448,423.0,390.6666666666667
01M450,402.0,383.0
01M458,401.0,391.3333333333333
01M509,433.0,402.3333333333333
01M515,557.0,401.6666666666667
01M539,574.0,540.3333333333334
01M650,418.0,415.3333333333333
01M696,604.0,618.6666666666666
02M047,400.0,394.0
02M288,393.0,398.0
02M294,384.0,385.3333333333333
02M296,375.0,370.3333333333333
02M298,438.0,431.0
02M300,449.0,423.0
02M303,358.0,350.3333333333333
02M305,388.0,382.6666666666667
02M308,392.0,400.0
02M313,390.0,396.0
02M316,370.0,375.6666666666667
02M374,391.0,392.0
02M376,483.0,478.3333333333333
02M392,,
02M393,,
02M394,512.0,396.0
02M399,,
02M400,493.0,473.0
02M407,465.0,474.6666666666667
02M408,490.0,507.3333333333333
02M411,563.0,525.6666666666666
02M412,590.0,559.0
02M413,533.0,521.6666666666666
02M414,492.0,473.0
02M416,594.0,586.0
02M418,553.0,538.0
02M419,399.0,390.0
02M420,449.0,435.3333333333333
02M425,426.0,411.0
02M427,,
02M429,357.0,354.0
02M437,,
02M438,,
02M439,473.0,457.3333333333333
02M440,365.0,370.3333333333333
02M449,416.0,399.6666666666667
02M459,460.0,409.0
02M460,387.0,373.3333333333333
02M473,,
02M475,735.0,698.6666666666666
02M489,489.0,458.0
02M500,349.0,356.6666666666667
02M519,472.0,472.0
02M520,440.0,413.3333333333333
02M529,425.0,413.0
02M531,404.0,417.6666666666667
02M542,378.0,352.6666666666667
02M543,395.0,389.3333333333333
02M544,371.0,365.0
02M545,581.0,474.6666666666667
02M550,436.0,385.3333333333333
02M551,423.0,404.0
02M560,440.0,471.6666666666667
02M565,508.0,515.6666666666666
02M570,337.0,344.0
02M575,517.0,401.6666666666667
02M580,384.0,398.3333333333333
02M586,416.0,434.3333333333333
02M600,423.0,419.0
02M605,403.0,418.3333333333333
02M615,418.0,402.3333333333333
02M620,379.0,369.3333333333333
02M625,382.0,384.3333333333333
02M630,441.0,438.3333333333333
02M655,424.0,412.0
03M283,379.0,397.6666666666667
03M299,384.0,377.3333333333333
03M307,390.0,381.3333333333333
03M402,,
03M403,,
03M404,403.0,400.0
03M415,368.0,369.6666666666667
03M417,,
03M470,390.0,372.6666666666667
03M479,575.0,581.3333333333334
03M485,564.0,569.0
03M492,398.0,398.6666666666667
03M494,433.0,425.6666666666667
03M505,369.0,373.6666666666667
03M541,506.0,482.0
03M577,,
03M860,379.0,365.3333333333333
04M409,357.0,361.3333333333333
04M435,514.0,476.6666666666667
04M495,379.0,376.0
04M555,421.0,407.0
04M610,446.0,442.0
04M635,369.0,365.0
04M680,351.0,351.3333333333333
05M285,318.0,336.0
05M304,399.0,403.3333333333333
05M362,,
