DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATall,SATmath
16K393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.692126,-73.931731,356.0,355.0
02M418,0.0,0.0,0.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,40.704487,-74.011556,538.0,553.0
02M418,0.0,0.0,0.0,0.0,0.0,0.31,1.12,1.82,0.79,0.51,40.704487,-74.011556,538.0,553.0
02M418,0.0,0.0,0.0,0.0,0.0,0.28,1.11,1.74,0.75,0.53,40.704487,-74.011556,538.0,553.0
16K594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.680463,-73.922264,364.3333333333333,372.0
14K586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.709941,-73.943641,367.6666666666667,377.0
14K454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.709941,-73.943641,396.3333333333333,386.0
14K449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.709941,-73.943641,580.0,584.0
23K493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.674103,-73.913273,395.0,409.0
14K071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.703624,-73.95314599999999,361.6666666666667,361.0
14K071,0.0,7.0,6.0,5.0,2.0,0.31,1.12,1.82,0.79,0.51,40.703624,-73.95314599999999,361.6666666666667,361.0
14K071,1.0,5.0,5.0,3.0,3.0,0.28,1.11,1.74,0.75,0.53,40.703624,-73.95314599999999,361.6666666666667,361.0
13K412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.692642,-73.958794,371.3333333333333,355.0
15K448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.68007,-74.001377,393.0,399.0
23K697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.665878,-73.911705,398.6666666666667,416.0
23K514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.665878,-73.911705,363.6666666666667,371.0
19K683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.670724,-73.874208,385.6666666666667,400.0
18K589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.658429999999996,-73.929076,360.0,360.0
